index,value,name,co,max_aqi,min_aqi,no2,o3,pm10,pm2_5,type,rank,so2,date
52,83,上海,0.7,160,46,35,130,42,38,良,174.6333,9,2017/6/1
62,63,乌鲁木齐,0.803,128,45,33,102,61,21,良,218.8,9,2017/6/1
127,125,北京,0.783,200,50,38,184,75,42,轻度污染,228.5333,6,2017/6/1
195,109,南京,0.95,200,40,37,164,61,31,轻度污染,182.6333,13,2017/6/1
251,41,南宁,0.947,71,27,27,71,37,19,优,92.8667,8,2017/6/1
319,35,厦门,0.463,50,20,23,61,27,16,优,44.5,8,2017/6/1
377,103,合肥,0.777,200,32,37,160,65,43,轻度污染,227.3333,10,2017/6/1
492,101,呼和浩特,0.76,212,48,38,154,83,26,轻度污染,232.8,13,2017/6/1
546,115,天津,1.057,177,49,37,173,78,46,轻度污染,243,10,2017/6/1
610,56,广州,0.777,117,40,39,86,35,18,良,86.5333,10,2017/6/1
632,82,成都,0.853,130,41,48,125,71,43,良,221.2333,10,2017/6/1
686,73,杭州,0.84,194,37,34,115,45,30,良,151.3667,8,2017/6/1
756,75,武汉,0.983,122,32,38,119,61,32,良,188.1667,5,2017/6/1
806,33,海口,0.583,46,22,12,64,28,12,优,53.8333,6,2017/6/1
870,32,深圳,0.69,48,21,25,47,22,12,优,38.5333,7,2017/6/1
941,110,西安,1.067,172,46,42,165,72,33,轻度污染,203.1667,11,2017/6/1
51,117,上海,0.706,205,33,30,177,55,33,轻度污染,177.0323,10,2017/7/1
63,72,乌鲁木齐,0.845,97,53,36,124,73,22,良,251.7419,9,2017/7/1
126,118,北京,0.894,208,38,34,174,71,52,轻度污染,242.0645,3,2017/7/1
196,79,南京,1.013,149,31,34,127,46,19,良,134.129,13,2017/7/1
250,45,南宁,1.006,93,24,28,78,42,23,优,122.7419,8,2017/7/1
320,33,厦门,0.403,58,21,21,63,26,14,优,43.5484,10,2017/7/1
376,76,合肥,0.684,176,29,30,128,58,33,良,179.0968,9,2017/7/1
493,106,呼和浩特,0.839,171,55,38,165,80,28,轻度污染,247.1613,13,2017/7/1
545,104,天津,1.148,188,44,30,156,72,52,轻度污染,255.7097,6,2017/7/1
609,66,广州,0.823,151,33,42,96,36,21,良,111.6452,12,2017/7/1
633,119,成都,0.835,206,40,44,179,53,28,轻度污染,166.9032,8,2017/7/1
684,89,杭州,0.723,201,38,28,144,47,27,良,163.7419,8,2017/7/1
757,63,武汉,0.781,125,31,29,110,57,23,良,184.9355,4,2017/7/1
807,26,海口,0.584,36,17,12,50,22,10,优,33.6452,6,2017/7/1
869,39,深圳,0.671,151,21,23,62,24,14,优,32.5484,7,2017/7/1
942,122,西安,1.152,201,37,40,181,72,32,轻度污染,217.3871,8,2017/7/1
50,97,上海,0.781,193,25,32,151,47,31,良,150.2581,8,2017/8/1
64,66,乌鲁木齐,0.845,149,37,33,113,54,18,良,212.1613,8,2017/8/1
125,85,北京,0.803,162,34,35,131,56,38,良,224.1935,3,2017/8/1
